time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-06T08:04:11.943Z,62.2939,-149.2336,34.7,1.7,ml,,,,0.34,ak,ak20333204,2018-11-06T08:06:36.025Z,"35km ENE of Y, Alaska",earthquake,,3.7,,,automatic,ak,ak
2018-11-06T07:53:16.410Z,33.7811667,-116.1385,5.35,1.45,ml,44,71,0.07087,0.17,ci,ci38351144,2018-11-06T13:53:47.592Z,"10km NE of Indio, CA",earthquake,0.21,0.62,0.12,25,reviewed,ci,ci
2018-11-06T07:50:26.270Z,34.0461667,-117.2431667,18.07,1,ml,20,49,0.1218,0.16,ci,ci38351136,2018-11-06T13:53:50.592Z,"2km E of Loma Linda, CA",earthquake,0.4,0.74,0.185,17,reviewed,ci,ci
2018-11-06T07:39:28.684Z,38.3485,-115.8008,0.6,1.7,ml,29,112.67,0.169,0.211,nn,nn00664437,2018-11-06T14:46:59.567Z,"52km SSW of Currant, Nevada",earthquake,,1.5,0.2,15,reviewed,nn,nn
2018-11-06T07:37:23.541Z,61.7472,-148.1986,15.6,1.2,ml,,,,0.36,ak,ak20333202,2018-11-06T07:39:51.931Z,"34km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-06T07:33:55.072Z,60.4885,-147.17,12.3,1.5,ml,,,,0.51,ak,ak20333203,2018-11-06T07:39:52.153Z,"77km W of Cordova, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-06T07:24:20.884Z,61.7287,-148.4215,8.4,1.1,ml,,,,0.72,ak,ak20333199,2018-11-06T07:28:10.018Z,"23km ESE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-06T07:22:49.260Z,33.9643333,-116.2888333,1.82,0.88,ml,23,90,0.1024,0.17,ci,ci38351128,2018-11-06T13:58:21.625Z,"19km NNE of Thousand Palms, CA",earthquake,0.26,0.42,0.151,19,reviewed,ci,ci
2018-11-06T07:16:19.790Z,32.9573333,-115.904,8.34,1.06,ml,26,71,0.06706,0.18,ci,ci38351120,2018-11-06T16:47:03.684Z,"26km NNE of Ocotillo, CA",earthquake,0.3,0.84,0.19,8,reviewed,ci,ci
2018-11-06T07:15:06.362Z,61.0601,-151.0421,15.8,1.3,ml,,,,0.22,ak,ak20333195,2018-11-06T07:18:28.455Z,"43km NNE of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-06T07:11:24.840Z,33.4955,-116.79,3.98,0.13,ml,21,57,0.01892,0.11,ci,ci38351112,2018-11-06T16:28:44.146Z,"9km NE of Aguanga, CA",earthquake,0.2,0.35,0.061,7,reviewed,ci,ci
2018-11-06T07:05:29.005Z,69.5427,-144.8672,0,2.5,ml,,,,0.85,ak,ak20333192,2018-11-06T07:18:28.235Z,"81km SW of Kaktovik, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-11-06T07:02:16.740Z,34.2083333,-116.8435,3.88,1.35,ml,39,43,0.08363,0.2,ci,ci38351104,2018-11-06T13:59:19.530Z,"6km S of Big Bear City, CA",earthquake,0.28,0.85,0.146,27,reviewed,ci,ci
2018-11-06T06:55:23.322Z,40.3268,-119.6852,3.8,2.8,ml,16,77.52,0.397,0.1466,nn,nn00664430,2018-11-06T13:51:24.983Z,"38km SW of Gerlach-Empire, Nevada",earthquake,,2.9,0.15,7,reviewed,nn,nn
